id,amount,contentIDs
lhsieh,97,"119,120,121,674,769,1582,4433,23951,24632,27877,28108,28434,31394,31395,31396,32426,32862,34186,59999,60000,60001,60324,60524,60525,60648,60649,61218,63834,74758,75272,75273,77017,77858,77903,77904,78267,78649,78650,82594,83441,84917,85422,86939,87808,88280,88828,89594,89604,89677,93307,93308,94111,95039,95480,96724,97653,97654,105556,119316,120524,120525,127468,127469,127470,127471,127472,128074,128396,128806,128807,128808,128809,128810,128811,129277,129278,129279,131842,132363,133231,134355,140088,140116,148771,148772,148773,148774,148775,148776,148777,148778,148779,148780,164375,164376,164377,164814"
RachelMcAdam,97,"1815,3675,4667,6643,11634,12183,17140,17141,17366,18937,19530,20529,22047,24844,29888,39063,39836,40982,41500,41920,42501,44880,46042,47949,48203,48204,51648,51892,52484,55010,56479,57751,58253,58608,58682,60475,62038,64666,76968,77007,78488,79233,80140,81771,81872,94931,95797,96812,100323,100822,102558,103909,109020,109854,110071,114845,116475,116843,117019,118261,118496,118956,124753,125268,125269,125933,126743,126929,127266,127924,133799,147917,150479,150878,151626,151902,153642,153756,154123,154258,155136,155137,155138,155139,155485,155613,157461,158418,160646,160647,160648,162656,162717,162804,162805,163458,167033"
cmcmisgod,97,"3538,4915,6147,6796,12281,12692,12693,13678,14112,14229,15074,15471,16514,19228,19547,21906,22218,23066,24575,25395,25599,25691,25968,26596,37896,39648,40572,41466,41744,50282,53425,53702,55615,55822,56182,56798,56945,57183,57588,58025,58410,58592,59449,60130,60293,60399,61449,68916,71007,97955,98845,99130,102041,102042,107468,107491,107585,107707,107976,108350,108362,108735,108834,109425,110068,110641,114303,114304,120033,121864,121997,133327,133492,133618,133709,133915,134169,134777,134981,135456,136162,136335,137808,139275,140911,143113,146163,148324,149674,150149,150762,150763,152300,152726,154698,155947,163814"
ORK,97,"5517,7801,7802,9270,13874,14803,14841,16479,18705,19072,21448,21502,23046,23260,24123,28650,31205,33899,35722,40302,42248,42935,45225,53719,54295,54448,54660,54661,54829,55108,55164,55165,55166,55366,55850,55969,56097,59571,59824,60489,60939,65991,66097,66180,66355,66470,66542,66866,66916,67561,68514,68962,69609,69894,74397,74586,74601,77145,77228,80267,82243,82244,88886,93064,94206,94748,96249,96250,101900,110442,110443,111381,111433,111461,111474,112226,112511,148066,148067,148275,148686,149013,149085,149280,149299,149329,149656,149660,149774,149794,149837,150917,153182,153749,153799,154365,154972"
miler22020,97,"10004,11528,32280,33328,34526,41712,44600,49600,50752,50838,51220,51329,57044,58471,58472,61015,61080,64515,65179,70315,70526,70549,70635,72015,72016,72903,73297,73355,74897,75380,75522,75523,78439,79564,84551,85124,85631,86799,86800,94990,94991,96185,96186,96187,98852,98880,98881,98882,98883,98884,101734,102171,103239,103240,104330,104331,106281,106431,107157,107611,107896,107988,108951,109172,112165,115842,116741,119583,119599,119952,121771,122908,123563,126863,132341,132457,133414,133596,133734,134406,134528,137009,138868,138962,139158,141407,150636,151202,151599,153737,157407,159056,159057,161749,165416,165836,166555"
liudwan,97,"16563,18241,22282,29906,43322,47997,49730,51828,53572,56916,56993,59821,60921,61357,75625,75632,75712,75790,76375,76376,76377,76378,76379,76380,76381,76382,76383,76384,76385,76386,76387,76388,76389,78926,79325,80236,80554,80555,82250,82251,82413,84052,86420,96772,98970,98971,99825,100777,104774,104977,104978,105301,107030,116756,117296,117488,118436,118551,118774,119201,119275,119276,119305,119379,119518,119751,119752,124751,125948,127946,127947,131392,131671,132252,132558,136847,136961,137932,141728,142389,144207,144558,145377,145532,146572,152020,152989,153277,153543,157154,158185,158302,160971,161141,162157,162868,165115"
leon771170,97,"24847,25098,27246,27279,27590,27665,28075,28670,55930,59501,60214,76054,76184,76251,77117,77309,77638,77850,77947,77959,78593,79160,79235,79816,80445,80470,80994,81027,81070,81071,81252,82476,89994,92793,92893,93187,99218,99317,99361,99484,100969,101197,113760,122660,122664,122712,122825,123721,135583,136629,143082,143154,143249,143533,143648,143743,143744,143942,144217,144237,144300,144529,144551,144736,145061,145130,145217,145294,145309,145310,145344,145355,145378,145452,145484,145505,146449,146581,146625,148471,148600,148963,149129,159682,159903,159935,159956,160031,160081,160321,160346,161002,161266,163180,163226,163254,163296"
dddd345tw,96,"96,4237,4362,5810,7669,8234,8235,8457,8646,8694,8990,9110,9633,9721,10044,10106,10223,13016,13700,16739,16740,17374,17637,18036,21846,22347,22436,22780,24408,28678,29366,33045,33379,35264,37033,37691,42239,42713,43820,44124,44130,44238,44286,44984,45029,45288,45538,45583,45612,47598,48020,48522,48647,55682,56166,56836,57371,60180,60294,62422,62521,63505,63552,63666,64890,68684,68725,69413,69965,70050,70108,70135,74378,76311,76847,76986,77108,78288,81655,81656,81657,98074,107362,108521,110109,111475,111817,130506,134912,135336,135448,135570,135610,136660,136792,137274"
darkholy,96,"986,1100,1301,1681,4732,7013,7069,7070,8325,9285,17046,17687,18092,18243,23908,23909,23993,35387,36113,36350,36351,36352,36353,36800,36801,36802,36803,37934,38107,39542,40364,40425,40720,41840,42103,42104,42105,42106,42107,42214,42401,42599,43052,43053,43054,47295,47296,47297,47764,48876,49281,54482,54581,54789,54851,54852,55141,55142,55143,56645,60878,61759,62202,62417,63942,67365,70711,75386,75443,82084,82085,89804,94146,97991,101978,111686,116342,117639,117721,118662,134978,135384,141748,142882,144184,145449,145518,145853,146048,146668,148193,150120,163257,165405,165406,165407"
anyweather,96,"1904,2021,4799,17794,19781,21738,28120,30919,31132,31592,31731,33732,35207,36577,37810,38068,38371,38673,40085,41725,44055,46309,47779,60261,60797,63842,64130,65355,65613,67781,72927,73837,75009,75010,75235,76755,77550,78317,78474,81209,85359,86193,87223,90456,92424,104040,104631,106005,106608,110242,112120,112154,112679,113531,113772,113848,115265,115399,116217,120397,125337,125852,125970,126186,127904,130663,130951,132733,135035,135036,144316,144526,144972,145230,147775,148147,150327,151504,151886,152157,152158,153176,154446,159778,159911,160125,160588,161119,161597,161689,161746,163058,164462,164463,167007,167008"
