id,len1,len2,len3,len4,len5,len6,len7,len8,len9,len10,len11,len12,len13,len14,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14
solomn,1,0,0,0,0,0,0,0,0,1,0,0,1,0,['256630'],[],[],[],[],[],[],[],[],['414498'],[],[],['290014'],[]
qoomai,1,0,0,0,0,0,0,0,0,1,1,0,0,0,['377196'],[],[],[],[],[],[],[],[],['242103'],['377196'],[],[],[]
shiaubai,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['191361'],[],[],[],[],[],[],[],[],[],[],[],[],[]
HODALA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['365610'],[],[],[],[],[],[],[],[],[],[],[],[],[]
adventurer22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['131150'],[],[],[],[],[],[],[],[],[],[],[],[],[]
elainakuo,0,39,0,60,8,1,0,34,0,3,1,10,85,0,[],"['20299', '21421', '22863', '27564', '28277', '45794', '55881', '74330', '80821', '93611', '96049', '96364', '102389', '108359', '114025', '126390', '144115', '145107', '149868', '153528', '155711', '157788', '176000', '176001', '180487', '188986', '211280', '228573', '287624', '290999', '303365', '334376', '343608', '351058', '352279', '370398', '411577', '414404', '416498']",[],"['10978', '11430', '27850', '28654', '29692', '34607', '49061', '78596', '79515', '81129', '92669', '108359', '122307', '124112', '126742', '133034', '136796', '139272', '141878', '142386', '149868', '165761', '171089', '198562', '200020', '230377', '242478', '245102', '246647', '248529', '253247', '253328', '253503', '277019', '286834', '294423', '294659', '295754', '298907', '309735', '310369', '310370', '311060', '311505', '316996', '337786', '347736', '347866', '348595', '351058', '352279', '357098', '376037', '387813', '394554', '401582', '409386', '409832', '414404', '422147']","['24372', '128318', '131762', '137027', '300913', '321924', '346892', '375501']",['420757'],[],"['3858', '16450', '21144', '38200', '59169', '70165', '112248', '113725', '130591', '137345', '143970', '153902', '154170', '162454', '169098', '181424', '189711', '198642', '221934', '223388', '226695', '235374', '236632', '260522', '301204', '304482', '310828', '338461', '348532', '395890', '409612', '416464', '416529', '419276']",[],"['129307', '202829', '261932']",['253879'],"['76905', '77025', '143893', '156435', '242711', '253879', '282132', '285567', '316645', '326379']","['6868', '13939', '15401', '17431', '19295', '20913', '21299', '22605', '23010', '40068', '40370', '40426', '40719', '53911', '54761', '55896', '62505', '77273', '84520', '86741', '87189', '89466', '89727', '90064', '94199', '95432', '95934', '97591', '113603', '120538', '122606', '127634', '128172', '132914', '133153', '133733', '134102', '134167', '134968', '136643', '138313', '138392', '196038', '200629', '203743', '213235', '213657', '215653', '219588', '220358', '220556', '221682', '222614', '227871', '230707', '237379', '239314', '239387', '239477', '240669', '247082', '247990', '249379', '253938', '254662', '265476', '283813', '292603', '294038', '299542', '317269', '325649', '328289', '375501', '376343', '377410', '382584', '384135', '388085', '392458', '393039', '402775', '404149', '406036', '410162']",[]
ecat,0,62,1,56,4,4,0,13,0,14,0,19,8,0,[],"['1190', '10068', '11839', '26478', '49232', '51310', '57753', '57754', '68013', '78984', '94053', '95503', '109188', '109753', '110639', '110747', '135582', '136947', '144930', '145342', '154668', '160504', '161115', '162416', '163023', '169321', '172092', '173636', '174064', '174555', '175474', '175475', '187943', '196124', '197574', '201667', '202017', '220197', '225717', '226229', '227592', '227988', '229102', '250740', '250742', '282782', '299013', '300456', '324632', '332123', '338270', '347905', '353596', '373522', '373722', '386213', '387315', '396283', '406767', '411250', '412079', '412086']",['286093'],"['968', '11839', '18315', '20385', '21681', '28377', '45785', '45909', '48049', '78190', '80515', '80842', '80923', '94053', '95503', '97571', '108357', '110640', '116597', '116600', '124705', '133739', '144190', '169321', '228409', '228548', '229102', '250740', '250742', '254249', '257682', '276528', '282782', '299908', '300254', '300456', '327750', '331095', '332123', '337774', '350793', '353427', '353545', '354249', '355929', '359649', '373522', '373722', '386047', '401637', '402941', '403554', '411132', '418563', '422092', '422928']","['54218', '97586', '134506', '145220']","['56791', '172128', '189379', '189381']",[],"['48899', '51402', '55573', '87977', '89504', '113735', '163022', '201634', '204452', '220845', '331093', '410244', '412083']",[],"['46560', '51533', '53530', '53961', '53962', '77898', '94126', '122612', '142489', '168591', '374392', '409012', '412827', '412828']",[],"['9392', '24150', '44603', '76113', '110143', '150414', '150558', '154470', '161416', '161572', '232696', '294474', '325786', '339203', '375466', '390234', '391509', '396565', '404151']","['89306', '95321', '107845', '119866', '132917', '223769', '239315', '378578']",[]
MVPGGYY,0,8,0,9,0,1,0,3,0,1,0,1,3,0,[],"['17795', '21596', '83795', '179285', '291763', '339891', '377995', '392336']",[],"['83795', '147126', '194177', '201437', '290183', '310145', '340870', '344127', '347451']",[],['90288'],[],"['246588', '246625', '375719']",[],['378776'],[],['233547'],"['199533', '221763', '344574']",[]
dog990999,0,10,0,96,0,0,0,12,0,3,0,0,13,0,[],"['116729', '130507', '154262', '189354', '219689', '241290', '291651', '296570', '300484', '300925']",[],"['8143', '8734', '8989', '11427', '11701', '12299', '17014', '38733', '45702', '45930', '46008', '47901', '48366', '50617', '50817', '57267', '75296', '86688', '87082', '94407', '94646', '107508', '109632', '111455', '114279', '116040', '116663', '116821', '125104', '130507', '130596', '133518', '134875', '137013', '137014', '137461', '164503', '189357', '195448', '198543', '199965', '211105', '211857', '212932', '216146', '217204', '217345', '223946', '237587', '237589', '237947', '243115', '245177', '249794', '267624', '267863', '279666', '282050', '289032', '291926', '302906', '306384', '309388', '310391', '320257', '349328', '350682', '351646', '352169', '377389', '380418', '387034', '387095', '387578', '393217', '393257', '393778', '394699', '397593', '401556', '403607', '411599', '412300', '413355', '414321', '414831', '414883', '415672', '415747', '416158', '417961', '419302', '419433', '419488', '419640', '420864']",[],[],[],"['84873', '85681', '94196', '142960', '216269', '225874', '246616', '266236', '269554', '280303', '286139', '382439']",[],"['181904', '202108', '239340']",[],[],"['136671', '202108', '213715', '223108', '239338', '239339', '305903', '307945', '382578', '382934', '393544', '400598', '413243']",[]
ckbdfrst,0,35,1,19,1,6,0,2,0,3,0,8,26,0,[],"['61089', '83864', '108664', '109216', '109218', '109219', '111415', '127090', '146423', '146426', '163971', '163976', '163978', '165356', '167921', '167922', '168161', '168280', '168905', '178110', '193916', '210492', '228272', '257015', '297226', '298154', '318844', '319332', '333196', '354602', '361256', '390190', '390202', '391004', '391005']",['358359'],"['61089', '83648', '83864', '107104', '108102', '145138', '162181', '164620', '165044', '179005', '208717', '209413', '234933', '260759', '332578', '354985', '388241', '391006', '411409']",['392450'],"['81108', '81854', '81855', '165971', '178782', '315878']",[],"['143686', '405523']",[],"['109222', '164737', '325801']",[],"['31906', '113239', '165044', '215100', '215767', '303398', '336562', '348992']","['9795', '31451', '47306', '63285', '65243', '82849', '109134', '111145', '112113', '112894', '113843', '134175', '148104', '210574', '210967', '211224', '214213', '220616', '239810', '331422', '338526', '362176', '362216', '370257', '377125', '413225']",[]
WTF55665566,0,14,0,85,0,0,0,1,0,2,0,1,3,0,[],"['2670', '70273', '98918', '118252', '120951', '124110', '172337', '305393', '334047', '361151', '364281', '367550', '367552', '370552']",[],"['3490', '7285', '11940', '30644', '58691', '68614', '71733', '74866', '75452', '81713', '91137', '97202', '97203', '97799', '104104', '113903', '114667', '114910', '117454', '119686', '120370', '120675', '121146', '128302', '137097', '137098', '138289', '138290', '188653', '191222', '201713', '232280', '239842', '240000', '240001', '244701', '246685', '247234', '255570', '271851', '272687', '276574', '276575', '277706', '278746', '286838', '290691', '301049', '301051', '303522', '303976', '305393', '309604', '317100', '317162', '323563', '327839', '328252', '335602', '353673', '363222', '364675', '367956', '370358', '370552', '370858', '380163', '380199', '380318', '380796', '381065', '381703', '381822', '384797', '386094', '387085', '389457', '393477', '401484', '404807', '411595', '412135', '415127', '419842', '420623']",[],[],[],['132596'],[],"['122032', '385998']",[],['300211'],"['113182', '254677', '363864']",[]
generally,0,114,0,70,0,2,0,7,1,3,2,2,8,0,[],"['10834', '24073', '24914', '25144', '27546', '28470', '35476', '38009', '43887', '44620', '49226', '54246', '54436', '55880', '56382', '65234', '74276', '76738', '94070', '95257', '96588', '101313', '109757', '111018', '114013', '122714', '124096', '152696', '153214', '154241', '157611', '158274', '162806', '165367', '165699', '168910', '171839', '172043', '175512', '177541', '177545', '182752', '186300', '186348', '186431', '187484', '187704', '187792', '190733', '190894', '191220', '193640', '194145', '194186', '194320', '194439', '196958', '198254', '199390', '200236', '200775', '200878', '202360', '203123', '204217', '207369', '222285', '222792', '223966', '225167', '226162', '226732', '238816', '241400', '241810', '249018', '249374', '249798', '250914', '286194', '286270', '291120', '291774', '292662', '294013', '295165', '298054', '298138', '300090', '300364', '303199', '307702', '307914', '308770', '309102', '309241', '312558', '313504', '346292', '348829', '348966', '352782', '353078', '363114', '366096', '367829', '375837', '378370', '379605', '385008', '390701', '391172', '410693', '420264']",[],"['18592', '24801', '50606', '67801', '73025', '91990', '92098', '94070', '111018', '114013', '114678', '116588', '121899', '122714', '124096', '154241', '165719', '169215', '171839', '172043', '176469', '185738', '186300', '186348', '186349', '187484', '194186', '195405', '196065', '198254', '199329', '200650', '201654', '203809', '223233', '223945', '225167', '226162', '227236', '234676', '238950', '241904', '242392', '244941', '246425', '250186', '250914', '287793', '293835', '294119', '295113', '300501', '300521', '302706', '304255', '305922', '309241', '310683', '311040', '345769', '346292', '352742', '372085', '379190', '384217', '385610', '409400', '416580', '419147', '420020']",[],"['187140', '187550']",[],"['177540', '195390', '298174', '301195', '363178', '363179', '365022']",['299184'],"['187140', '187366', '415404']","['28469', '300220']","['28469', '300220']","['55611', '97794', '111896', '114072', '166983', '205891', '254652', '307124']",[]
Moratti,0,18,1,19,0,0,0,5,0,2,0,3,5,0,[],"['22880', '51395', '56302', '74590', '75668', '76997', '99951', '220888', '330060', '333020', '333034', '351113', '366457', '370240', '383236', '389652', '396479', '400326']",['101984'],"['48927', '49007', '49303', '55177', '59074', '99951', '121121', '124556', '190325', '300814', '302590', '306450', '333020', '341166', '364399', '364533', '370240', '370624', '381631']",[],[],[],"['48545', '53738', '116655', '121892', '302276']",[],"['114934', '378759']",[],"['280550', '306903', '342760']","['47694', '55570', '300228', '388309', '392810']",[]
alexrow,0,7,0,36,0,0,0,2,0,4,0,4,2,0,[],"['45076', '102351', '121446', '313602', '324999', '327425', '404267']",[],"['5933', '12139', '12637', '14819', '29771', '42230', '43888', '45127', '46721', '60145', '74493', '91658', '105236', '107416', '121446', '329371', '355843', '356004', '356344', '356382', '357176', '367541', '368213', '369093', '370111', '371888', '372350', '372629', '372947', '384949', '404842', '405237', '412791', '415439', '415905', '416617']",[],[],[],"['321734', '385172']",[],"['391303', '391511', '400743', '414488']",[],"['72096', '74352', '355896', '412269']","['353584', '413228']",[]
indium111,0,62,0,76,0,0,0,7,0,3,0,3,3,0,[],"['108453', '109175', '109176', '109178', '109181', '109182', '109183', '109184', '115383', '116437', '118822', '121408', '137351', '148004', '153259', '153417', '158942', '159904', '160531', '160532', '165603', '165604', '165605', '166706', '173399', '173635', '173785', '173924', '184818', '185327', '185416', '189437', '189840', '202625', '217724', '228593', '228661', '228999', '229001', '229004', '291770', '291771', '295005', '308047', '309164', '309165', '312666', '313606', '327221', '327592', '328878', '331464', '332118', '339703', '340794', '375833', '377731', '406033', '407019', '410645', '414849', '416629']",[],"['107278', '110634', '113016', '114797', '115101', '134595', '134828', '134830', '134831', '134832', '134833', '135171', '137115', '137116', '137123', '160251', '166706', '185812', '205613', '217724', '234235', '235537', '236495', '241073', '243022', '244313', '244435', '246303', '284635', '284765', '284834', '291597', '293834', '295439', '295577', '295707', '301478', '302079', '302087', '302093', '302502', '303849', '305004', '313678', '318273', '318274', '318630', '318795', '321551', '326628', '326629', '332118', '332986', '384108', '385624', '385854', '387073', '404944', '404978', '404979', '406033', '410285', '412005', '413685', '414849', '416629', '417690', '417691', '418154', '418261', '419144', '419281', '419832', '420863', '421174', '421534']",[],[],[],"['117644', '170224', '194544', '221545', '330023', '330290', '361708']",[],"['174058', '229001', '326722']",[],"['326378', '381721', '411225']","['136641', '229003', '262917']",[]
Xceberus,0,19,1,45,0,5,0,2,0,14,2,4,7,0,[],"['31491', '32433', '71086', '75013', '89471', '90081', '129008', '132836', '158076', '193563', '193593', '286484', '289398', '300896', '328605', '337148', '395574', '396231', '396272']",['259728'],"['10108', '21914', '22422', '22910', '35743', '35875', '36047', '37148', '60663', '61095', '82639', '84064', '84165', '90487', '109105', '156359', '158145', '193593', '197411', '199023', '201325', '201326', '238059', '244609', '287083', '287227', '287326', '289641', '290620', '291078', '300896', '322952', '322955', '328605', '337148', '347547', '347981', '381815', '391218', '391806', '392580', '412786', '419679', '420238', '421714']",[],"['19801', '69076', '84118', '111272', '286820']",[],"['124359', '128159']",[],"['66202', '71011', '85951', '88878', '165601', '262904', '283546', '300474', '347765', '375144', '376306', '376640', '394300', '416000']","['327841', '337218']","['60743', '70595', '337218', '395721']","['84475', '165436', '166964', '327668', '327794', '327853', '393437']",[]
jerrylin,0,2,0,17,0,1,0,1,0,3,0,0,4,0,[],"['139867', '181489']",[],"['8983', '11949', '48954', '53297', '56205', '61634', '71750', '75813', '94240', '101455', '113582', '134526', '187153', '238415', '238451', '261278', '312781']",[],['240377'],[],['306124'],[],"['91628', '188228', '333436']",[],[],"['89725', '136050', '367507', '390463']",[]
larusa,0,6,0,8,1,4,0,1,0,4,0,0,5,0,[],"['49081', '200910', '234729', '288420', '384134', '406307']",[],"['44901', '105667', '232690', '288420', '317703', '317704', '345603', '366263']",['48241'],"['249474', '288158', '366459', '384696']",[],['317681'],[],"['52146', '246514', '310062', '330739']",[],[],"['88715', '90265', '232984', '336084', '386169']",[]
hyoerious,0,28,0,67,0,0,0,2,0,2,0,5,7,0,[],"['6900', '25043', '41146', '68131', '68404', '68809', '90497', '93605', '101383', '118209', '142063', '152808', '175991', '189615', '190779', '194315', '226652', '227520', '227563', '234585', '238993', '270151', '287305', '287388', '325493', '349385', '375803', '387321']",[],"['6900', '8705', '17686', '24210', '25281', '49559', '77456', '98424', '99810', '99938', '101383', '111408', '116665', '118209', '118584', '118604', '130060', '130602', '130634', '131764', '142063', '143987', '149428', '152808', '152851', '158793', '161029', '170290', '180362', '190779', '207560', '226652', '227563', '234585', '235531', '238993', '253572', '253776', '255201', '258905', '270151', '270980', '275409', '275969', '287305', '287388', '296563', '306551', '307558', '308526', '313549', '325349', '325493', '332611', '346420', '349385', '349406', '351662', '369896', '369953', '375803', '375808', '376571', '392997', '401364', '413111', '421642']",[],[],[],"['190986', '283890']",[],"['158564', '226604']",[],"['205457', '236616', '253024', '281816', '375906']","['8506', '103734', '205457', '281816', '295151', '382728', '383189']",[]
brella,0,9,0,36,0,0,0,5,0,2,0,0,0,0,[],"['21507', '45532', '101003', '162664', '215682', '294965', '330563', '361463', '418847']",[],"['4188', '8265', '45478', '57561', '66260', '69424', '71732', '72665', '99553', '113980', '114341', '120935', '134039', '134840', '145034', '156527', '157233', '200321', '212830', '243239', '267850', '269704', '272843', '280725', '280819', '289677', '292797', '296765', '302491', '303525', '311463', '325837', '361463', '365937', '405319', '408074']",[],[],[],"['20027', '93352', '237148', '325069', '368657']",[],"['222128', '222305']",[],[],[],[]
sunsam,0,12,0,125,0,2,0,8,0,1,0,4,7,0,[],"['157132', '166541', '166698', '175834', '203128', '255134', '283801', '312743', '326989', '358848', '410934', '412717']",[],"['102198', '114333', '115698', '135164', '147842', '149394', '154389', '157605', '160196', '161026', '166541', '166623', '166796', '166918', '168395', '181954', '183797', '184210', '185493', '187815', '188648', '188789', '200478', '201846', '203054', '204417', '206171', '206190', '206195', '206965', '211154', '212639', '215230', '218701', '222404', '224014', '224705', '226271', '230826', '238040', '238085', '238147', '238459', '251656', '255171', '259033', '265355', '268587', '270112', '274207', '277440', '283359', '293862', '295050', '298192', '300902', '301042', '301168', '312240', '313437', '320148', '323554', '324507', '324564', '324677', '325168', '325261', '325262', '325313', '325348', '325758', '329475', '329777', '329855', '331369', '335123', '340863', '348184', '349117', '349840', '350012', '350859', '351370', '351680', '357090', '357442', '359285', '361509', '364664', '371535', '379552', '380131', '380210', '382061', '384220', '385092', '386059', '387492', '388847', '393005', '395156', '396752', '398200', '399555', '401117', '401205', '401465', '401595', '401785', '403048', '403477', '403727', '404608', '410274', '412566', '414826', '415335', '419330', '419659', '419663', '419738', '419821', '422044', '422121', '422853']",[],"['167986', '225863']",[],"['83347', '169658', '203894', '352682', '388766', '398099', '411778', '413789']",[],['319359'],[],"['128391', '162414', '176490', '305812']","['149180', '263029', '283854', '325288', '351659', '380275', '400571']",[]
