id,len1,len2,len3,len4,len5,len6,len7,len8,len9,len10,len11,len12,len13,len14,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14
k123amz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
ritaw,0,0,0,3,0,0,0,0,0,0,0,0,0,0,[],[],[],"['13149', '196799', '420466']",[],[],[],[],[],[],[],[],[],[]
dc871512,0,0,0,1,0,2,0,0,0,1,0,0,0,0,[],[],[],['305271'],[],"['13836', '305271']",[],[],[],['374085'],[],[],[],[]
moslaa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
pepperbit,0,0,0,2,0,0,0,0,0,0,0,0,0,0,[],[],[],"['264271', '269875']",[],[],[],[],[],[],[],[],[],[]
prestonia,0,0,1,1,0,0,0,0,0,0,0,0,0,0,[],[],['228381'],['209153'],[],[],[],[],[],[],[],[],[],[]
yenyen0403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
chrisjeremy,0,0,0,0,0,0,0,1,0,0,1,1,0,0,[],[],[],[],[],[],[],['209775'],[],[],['92322'],['92322'],[],[]
CleanThunder,0,0,0,0,0,0,0,0,0,2,0,0,0,0,[],[],[],[],[],[],[],[],[],"['38565', '176333']",[],[],[],[]
abcdeffg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[],[],[],[],[],[],[],[],[],[],[],[],['242847'],[]
AATM1999,0,0,0,0,0,0,0,0,0,1,0,0,1,0,[],[],[],[],[],[],[],[],[],['138426'],[],[],['67452'],[]
chihchingho,0,0,1,1,0,0,0,0,0,0,0,0,0,0,[],[],['131593'],['254851'],[],[],[],[],[],[],[],[],[],[]
a5531775,0,4,0,0,0,1,0,0,0,1,0,0,0,0,[],"['95776', '109419', '174684', '294824']",[],[],[],['73802'],[],[],[],['172875'],[],[],[],[]
Asasin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
sfsf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
haupindiedie,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],[],[],[],[],[],[],[],[],['51290'],[],[],[],[]
zegale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
a76078547,0,0,0,1,0,0,0,0,0,1,0,0,0,0,[],[],[],['190043'],[],[],[],[],[],['283106'],[],[],[],[]
zsquarez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Leeabel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
akainorei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
iamalam2005,0,0,0,2,0,0,0,0,0,0,0,0,0,0,[],[],[],"['194531', '268865']",[],[],[],[],[],[],[],[],[],[]
gmoz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
joycewanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
kano4002,0,0,0,0,0,0,0,0,0,2,0,0,0,0,[],[],[],[],[],[],[],[],[],"['211820', '404667']",[],[],[],[]
chineseyen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
leterg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
lecheck,0,0,0,0,0,0,0,0,0,0,0,1,1,0,[],[],[],[],[],[],[],[],[],[],[],['395856'],['191983'],[]
class21535,0,1,0,0,0,0,0,0,0,1,0,0,0,0,[],['194433'],[],[],[],[],[],[],[],['167428'],[],[],[],[]
mos11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,[],[],[],[],[],[],[],[],[],"['37189', '71009']",[],[],[],[]
ruiun,0,2,0,0,0,0,0,0,0,0,0,0,0,0,[],"['194345', '194462']",[],[],[],[],[],[],[],[],[],[],[],[]
LJL452,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],[],[],[],[],[],[],[],[],['37638'],[],[],[],[]
gigiii1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
webb,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[],[],[],[],[],[],[],[],[],[],[],[],['239815'],[]
swingman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
HuliYh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
beau03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
EricOu0218,0,0,0,1,0,0,0,0,0,1,0,0,0,0,[],[],[],['349319'],[],[],[],[],[],['389071'],[],[],[],[]
AMD640,0,0,0,0,0,1,0,0,0,1,0,0,0,0,[],[],[],[],[],['91099'],[],[],[],['419163'],[],[],[],[]
XseraphimX,0,0,0,1,0,0,0,0,0,0,0,0,1,0,[],[],[],['256188'],[],[],[],[],[],[],[],[],['263976'],[]
ekki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
skoll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
lnmp,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],[],[],[],[],[],[],[],[],['202612'],[],[],[],[]
tsming,0,0,0,1,0,0,0,0,0,0,0,0,1,0,[],[],[],['389169'],[],[],[],[],[],[],[],[],['77594'],[]
th11yh23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,[],['291777'],[],[],[],[],[],[],[],[],[],[],[],[]
mclililala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
GAMETYRANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
truegod000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,[],[],[],[],[],[],[],[],[],[],[],[],"['136685', '166954']",[]
marijnkops,0,1,0,1,0,0,0,0,0,0,0,0,0,0,[],['109399'],[],['421273'],[],[],[],[],[],[],[],[],[],[]
XXXXLINDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
AirO0264400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
victoy0909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
violence0322,0,1,0,0,0,0,0,0,0,0,0,0,0,0,[],['331353'],[],[],[],[],[],[],[],[],[],[],[],[]
Ginpunch,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],['95392'],[],[],[],[],[],[],[],[],[],[]
cksuck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
a46911a149,0,1,0,0,0,0,0,0,0,0,0,0,0,0,[],['142440'],[],[],[],[],[],[],[],[],[],[],[],[]
geniusw,0,0,1,0,0,0,0,0,0,1,0,0,0,0,[],[],['118107'],[],[],[],[],[],[],['371089'],[],[],[],[]
jurassic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[],[],[],[],[],[],[],['228248'],[],[],[],[],[],[]
fsab00326688,0,0,0,3,0,0,0,0,0,0,0,0,0,0,[],[],[],"['133621', '308839', '313176']",[],[],[],[],[],[],[],[],[],[]
snobbish,0,0,0,0,0,1,0,0,0,2,0,0,1,0,[],[],[],[],[],['149891'],[],[],[],"['401935', '423086']",[],[],['249831'],[]
MurderKiller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
kant1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Zarooor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
ARTORIA,0,0,0,0,0,0,0,0,0,1,0,0,2,0,[],[],[],[],[],[],[],[],[],['380093'],[],[],"['240004', '246136']",[]
akqoog,0,0,0,1,1,0,0,0,0,0,0,0,0,0,[],[],[],['257340'],['251647'],[],[],[],[],[],[],[],[],[]
Movice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
victor110183,0,10,0,11,0,0,0,0,0,0,0,0,0,0,[],"['303567', '303940', '321985', '330385', '330720', '332399', '332495', '333665', '400949', '401027']",[],"['303567', '304018', '321985', '330385', '330720', '332399', '333665', '344297', '349383', '400949', '401027']",[],[],[],[],[],[],[],[],[],[]
americ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
windid,0,0,0,0,0,3,0,0,0,1,0,0,0,0,[],[],[],[],[],"['22696', '23063', '321016']",[],[],[],['40932'],[],[],[],[]
chemtcwu,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],['290426'],[],[],[],[],[],[],[],[],[],[]
benson60913,0,5,0,0,0,0,0,0,0,0,0,0,0,0,[],"['948', '4583', '4804', '11250', '161082']",[],[],[],[],[],[],[],[],[],[],[],[]
yuiscarlet,0,0,0,0,0,0,0,0,0,0,0,1,1,0,[],[],[],[],[],[],[],[],[],[],[],['205568'],['264018'],[]
tso2054852,0,2,0,2,0,0,0,0,0,0,0,0,0,0,[],"['66870', '239574']",[],"['66870', '239574']",[],[],[],[],[],[],[],[],[],[]
ccekw807,0,2,0,0,0,0,0,0,0,0,0,0,1,0,[],"['68308', '315310']",[],[],[],[],[],[],[],[],[],[],['263591'],[]
omegajoker,0,1,0,1,0,0,0,0,0,0,0,0,3,0,[],['97031'],[],['255093'],[],[],[],[],[],[],[],[],"['105867', '192474', '298539']",[]
franz10123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
edwin11017,0,2,0,0,0,0,0,0,0,0,0,0,0,0,[],"['146966', '296226']",[],[],[],[],[],[],[],[],[],[],[],[]
wannastop,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[],[],[],[],[],[],[],[],[],[],[],[],['152711'],[]
hydra7,0,2,0,2,0,0,0,0,0,0,0,0,0,0,[],"['80632', '91960']",[],"['26600', '27266']",[],[],[],[],[],[],[],[],[],[]
okokok666666,0,0,0,0,0,1,0,0,0,0,0,1,1,0,[],[],[],[],[],['321112'],[],[],[],[],[],['321112'],['65845'],[]
Solzeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
powerdream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
shizai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
eayterrr,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[],[],[],[],[],[],[],[],[],[],[],[],['299378'],[]
shoai34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
jhgfd134679,0,0,0,0,0,0,0,0,0,0,0,0,2,0,[],[],[],[],[],[],[],[],[],[],[],[],"['192031', '231337']",[]
particular,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
fromwilda,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[],[],[],[],[],[],[],['168250'],[],[],[],[],[],[]
DaringDo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
TiMac1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,[],"['193006', '390287']",[],[],[],[],[],[],[],[],[],"['100316', '125340', '144680']",[],[]
zoeforce,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[],[],['242195'],[],[],[],[],[],[],[],[],[],[],[]
shinshy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,[],[],[],[],[],[],[],[],[],[],[],['154243'],[],[]
lance0904,0,1,0,0,0,0,0,0,0,0,1,1,0,0,[],['153244'],[],[],[],[],[],[],[],[],['64999'],['64999'],[],[]
james80351,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[],[],[],[],[],[],[],[],[],[],[],[],['67316'],[]
angel0328,0,1,1,2,0,0,0,0,0,0,0,0,0,0,[],['229579'],['286110'],"['80800', '229579']",[],[],[],[],[],[],[],[],[],[]
HideoNomo,0,0,0,1,0,0,0,0,0,0,0,0,1,0,[],[],[],['89777'],[],[],[],[],[],[],[],[],['263043'],[]
darktasi,0,2,0,0,0,0,0,0,0,0,0,0,0,0,[],"['19775', '84401']",[],[],[],[],[],[],[],[],[],[],[],[]
zirca,0,0,0,3,0,0,0,0,0,0,0,0,0,0,[],[],[],"['23244', '36274', '368785']",[],[],[],[],[],[],[],[],[],[]
serpens,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[],[],[],[],[],[],[],[],[],[],[],[],['10027'],[]
qq68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
gowang19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
teeo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
SvenLin,0,0,0,0,0,0,0,0,0,0,0,1,0,0,[],[],[],[],[],[],[],[],[],[],[],['250714'],[],[]
serway99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
m0m0c0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,[],[],[],[],[],[],[],[],[],"['39661', '414206']",[],[],[],[]
ccdrv,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[],[],[],[],[],[],[],['46900'],[],[],[],[],[],[]
Beramode,0,1,0,0,0,0,0,0,0,0,0,0,0,0,[],['188394'],[],[],[],[],[],[],[],[],[],[],[],[]
Barolo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,[],['170490'],[],[],[],[],[],[],[],[],[],[],[],[]
yencyu,0,0,0,0,0,0,0,0,0,2,0,0,0,0,[],[],[],[],[],[],[],[],[],"['162546', '166264']",[],[],[],[]
lkk0752,0,3,0,0,0,0,0,0,0,1,0,0,0,0,[],"['229983', '331816', '414067']",[],[],[],[],[],[],[],['295320'],[],[],[],[]
Ratonhaketon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
a1098137129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
kendiv,0,1,0,0,0,0,0,0,0,0,0,0,0,0,[],['24126'],[],[],[],[],[],[],[],[],[],[],[],[]
mojono,0,0,0,0,0,1,0,0,0,2,0,0,0,0,[],[],[],[],[],['37619'],[],[],[],"['115681', '290272']",[],[],[],[]
sam90205,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[],[],[],[],[],[],[],[],[],[],[],[],['340138'],[]
neuralandre,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],['356701'],[],[],[],[],[],[],[],[],[],[]
ahlolha,0,0,0,2,0,0,0,0,0,0,0,0,0,0,[],[],[],"['255265', '268835']",[],[],[],[],[],[],[],[],[],[]
csticker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Mikerpen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
eaious,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
apenguin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
andersonlin,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[],[],[],[],[],['29387'],[],[],[],[],[],[],[],[]
zhangweil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
fenway18,0,1,0,0,0,0,0,0,0,0,0,0,1,0,[],['50665'],[],[],[],[],[],[],[],[],[],[],['152128'],[]
double130710,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],['305236'],[],[],[],[],[],[],[],[],[],[]
ggly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
BauRR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
sck921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
diolu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
shihho,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],[],[],[],[],[],[],[],[],['98693'],[],[],[],[]
tannoy,0,8,0,0,0,0,0,0,0,0,0,4,0,0,[],"['36812', '193905', '217685', '217751', '289611', '289612', '289721', '303655']",[],[],[],[],[],[],[],[],[],"['36812', '37855', '38367', '193905']",[],[]
BT5026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
nash610,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[],[],[],[],[],[],[],[],[],[],[],[],['37828'],[]
a86851247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
chun0303,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[],[],[],[],[],[],[],['239060'],[],[],[],[],[],[]
worf1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
johnhahaha,0,0,0,0,0,0,0,0,0,2,0,0,0,0,[],[],[],[],[],[],[],[],[],"['152964', '168013']",[],[],[],[]
kousyouon,0,0,0,3,0,0,0,0,0,0,0,0,0,0,[],[],[],"['53231', '180346', '336370']",[],[],[],[],[],[],[],[],[],[]
red722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Irenicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
liunwaiqoo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],['314995'],[],[],[],[],[],[],[],[],[],[]
s122274848,0,1,0,0,0,0,0,1,0,0,0,0,0,0,[],['223406'],[],[],[],[],[],['205445'],[],[],[],[],[],[]
ims531,0,2,0,0,0,0,0,0,0,0,0,1,0,0,[],"['63477', '322004']",[],[],[],[],[],[],[],[],[],['321089'],[],[]
Gaujing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
loveyachi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
caelum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
antistar,0,0,0,0,0,0,0,0,0,3,0,0,2,0,[],[],[],[],[],[],[],[],[],"['95998', '160669', '380267']",[],[],"['219615', '380267']",[]
wayne41035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
danielww,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],['257963'],[],[],[],[],[],[],[],[],[],[]
GaiBanHarden,0,0,0,0,0,5,0,0,0,2,0,2,0,0,[],[],[],[],[],"['104052', '104189', '104479', '104644', '106392']",[],[],[],"['86126', '103948']",[],"['86126', '103948']",[],[]
ppp111683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
demonh311,0,0,0,2,0,0,0,0,0,0,0,0,0,0,[],[],[],"['395933', '414875']",[],[],[],[],[],[],[],[],[],[]
aalove,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],['284632'],[],[],[],[],[],[],[],[],[],[]
e44444,0,1,0,1,0,0,0,0,0,0,0,0,0,0,[],['141482'],[],['256050'],[],[],[],[],[],[],[],[],[],[]
zjoanie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
k29571159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
johnnytw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
a5401920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Earth2468,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[],[],[],[],[],[],[],[],[],[],[],[],['316034'],[]
cutemai0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
final951753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
adidasggh,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[],[],[],[],[],[],[],['226251'],[],[],[],[],[],[]
RoromiyaKana,0,0,0,0,0,0,0,0,0,0,0,0,2,0,[],[],[],[],[],[],[],[],[],[],[],[],"['221835', '257109']",[]
ryosuke,0,1,0,0,0,0,0,0,0,0,0,0,0,0,[],['157662'],[],[],[],[],[],[],[],[],[],[],[],[]
homgor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],['419402'],[],[],[],[],[],[],[],[],[],[]
taikonkimo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
d141011,0,0,0,0,0,3,0,0,0,0,0,0,0,0,[],[],[],[],[],"['260452', '345500', '391033']",[],[],[],[],[],[],[],[]
yoyo38749,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],['390444'],[],[],[],[],[],[],[],[],[],[]
skvis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],[],[],[],[],[],[],[],[],['165606'],[],[],[],[]
arthur7463,0,2,0,0,0,1,0,0,0,0,0,0,0,0,[],"['521', '43486']",[],[],[],['16982'],[],[],[],[],[],[],[],[]
funwing,0,0,0,0,0,0,0,0,0,0,0,1,0,0,[],[],[],[],[],[],[],[],[],[],[],['238570'],[],[]
drivenick,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],['209932'],[],[],[],[],[],[],[],[],[],[]
yanki826,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],['302343'],[],[],[],[],[],[],[],[],[],[]
matsui725,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[],[],[],[],[],[],[],['146145'],[],[],[],[],[],[]
ALL1217,0,2,0,3,0,0,0,0,0,0,0,0,0,0,[],"['24103', '130487']",[],"['130464', '130487', '332612']",[],[],[],[],[],[],[],[],[],[]
chuntien,0,2,0,2,0,0,0,0,0,0,0,0,0,0,[],"['71749', '97855']",[],"['71672', '71749']",[],[],[],[],[],[],[],[],[],[]
WBC5566,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[],[],[],[],[],[],[],[],[],[],[],[],['240665'],[]
elantree,0,2,0,0,0,0,0,0,0,0,0,0,0,0,[],"['158388', '176238']",[],[],[],[],[],[],[],[],[],[],[],[]
ghostdx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
CJY1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
BaGaJohn5566,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[],[],[],[],[],[],[],[],[],[],[],[],['195326'],[]
mikejason38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
aaaaluenaaa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
py602270421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
super1314159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
stanleywayne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],['75580'],[],[],[],[],[],[],[],[],[],[]
tiger8019622,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[],[],[],[],[],[],[],[],[],[],[],[],['382977'],[]
urzakim,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[],[],[],[],[],['25361'],[],[],[],[],[],[],[],[]
prettymouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
myfriend,0,3,0,0,0,0,0,0,0,0,0,0,0,0,[],"['21899', '24911', '25266']",[],[],[],[],[],[],[],[],[],[],[],[]
Nioko,0,4,0,0,0,0,0,0,0,0,0,1,1,0,[],"['10841', '118289', '122991', '139942']",[],[],[],[],[],[],[],[],[],['233696'],['43586'],[]
allenlee6710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
TFnight,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[],[],[],[],[],[],[],['191014'],[],[],[],[],[],[]
SuperModel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
walyun,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],['278117'],[],[],[],[],[],[],[],[],[],[]
gogoro8,0,0,0,0,0,0,0,0,0,0,0,1,2,0,[],[],[],[],[],[],[],[],[],[],[],['380944'],"['66454', '192058']",[]
aasaasaas947,0,0,0,1,0,0,0,0,0,1,0,0,0,0,[],[],[],['68228'],[],[],[],[],[],['263347'],[],[],[],[]
lovetina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
jaychen99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Aya710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
misson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
wish1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
pedagogik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
ilwe106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
taeyeon3685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
leoroc,0,0,0,0,0,0,0,0,0,0,0,0,2,0,[],[],[],[],[],[],[],[],[],[],[],[],"['52220', '144518']",[]
